Müller Markt Lichtenfels;Müller Markt Lichtenfels
Neustart des WebPanels;Neustart des WebPanels
Filiale;Filiale
Anmelden;Anmelden
nach einer Stunde;nach einer Stunde
automatisches Abmelden;automatisches Abmelden
Sommerkompensation;Sommerkompensation
Raum IST Temperatur;Raum IST Temperatur
Raum SOLL Temperatur;Raum SOLL Temperatur
Sommer;Sommer
Winter;Winter
DEC_SYMB;.
LANG_SYMB;GER
PM_AM;0
LogOut;LogOut
LogIn;LogIn
Behrschmidt;Behrschmidt
Müller;Müller
Reset;Reset
Tableau -/+;Tableau -/+

