Spielw.;Spielw.
Parf.;Parf.
Haushalt;Haushalt
Müller Markt Lugner City Wien;Müller Markt Lugner City Wien
automatisches Logout;automatisches Logout
Neustart des WebPanels;Neustart des WebPanels
Filiale;Filiale
Anmelden;Anmelden
nach einer Stunde;nach einer Stunde
Sommerkompensation;Sommerkompensation
Raum IST Temperatur;Raum IST Temperatur
DEC_SYMB;.
LANG_SYMB;GER
PM_AM;0
LogOut;LogOut
LogIn;LogIn
Behrschmidt;Behrschmidt
Müller;Müller

