A.Alarm.PCD01_ALA.MyName_426;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_425;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_424;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_423;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_422;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_421;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_420;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_419;Manual switch 53M1 Pump Floorheating Appartment - in Manualmode
A.Alarm.PCD01_ALA.MyName_418;Fuse 53F1 Pump Floorheating Appartment Alarm
A.Alarm.PCD01_ALA.MyName_417;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_416;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_415;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_414;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_413;Manual switch 40M1 Pump Floorheating Sub. Distr. 6 - in Manualmode
A.Alarm.PCD01_ALA.MyName_412;Fuse 40F1 Pump Floorheating Sub. Distr. 6 Alarm
A.Alarm.PCD01_ALA.MyName_411;Manual switch 39M1 Pump Floorheating Sub. Distr. 5 - in Manualmode
A.Alarm.PCD01_ALA.MyName_410;Fuse 39F1 Pump Floorheating Sub. Distr. 5 Alarm
A.Alarm.PCD01_ALA.MyName_409;Manual switch 36m1 Pump Floorheating Sub. Distr. 2 - in Manualmode
A.Alarm.PCD01_ALA.MyName_408;Fuse 36F1 Pump Floorheating Sub. Distr. 2 Alarm
A.Alarm.PCD01_ALA.MyName_407;Manual switch 35M1 Pump Floorheating Sub. Distr. 1 - in Manualmode
A.Alarm.PCD01_ALA.MyName_406;Fuse 35F1 Pump Floorheating Sub. Distr. 1 Alarm
A.Alarm.PCD01_ALA.MyName_405;Manual switch 8M1 Pump Floorheating Living Main Distr. - in Manualmode
A.Alarm.PCD01_ALA.MyName_404;Fuse 8F1 Pump Floorheating Living Main Distr. Alarm
A.Alarm.PCD01_ALA.MyName_403;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_402;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_401;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_400;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_399;Manual switch 38M1 Pump Floorheating Sub. Distr. 4 - in Manualmode
A.Alarm.PCD01_ALA.MyName_398;Fuse 38F1 Pump Floorheating Sub. Distr. 4 Alarm
A.Alarm.PCD01_ALA.MyName_397;Manual switch 37M1 Pump Floorheating Sub. Distr. 3 - in Manualmode
A.Alarm.PCD01_ALA.MyName_396;Fuse 37F1 Pump Floorheating Sub. Distr. 3 Alarm
A.Alarm.PCD01_ALA.MyName_395;Manual switch 9M1 Pump Floorheating Pool Main Distr. - in Manualmode
A.Alarm.PCD01_ALA.MyName_394;Fuse 9F1 Pump Floorheating Pool Main Distr. Alarm
A.Alarm.PCD01_ALA.MyName_393;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_392;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_391;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_390;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_389;Manual switch 6M1 Pump Radiator Mainhouse - in Manualmode
A.Alarm.PCD01_ALA.MyName_388;Fuse 6F1 Pump Radiator Mainhouse Alarm
A.Alarm.PCD01_ALA.MyName_387;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_386;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_385;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_384;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_383;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_382;Sensorlimit High
A.Alarm.PCD01_ALA.MyName_381;Manual switch 52M1 Pump Poolwater Heat Exchanger - in Manualmode
A.Alarm.PCD01_ALA.MyName_380;Fuse 52F1 Pump Poolwater Heat Exchanger Alarm
A.Alarm.PCD01_ALA.MyName_379;Sensorlimit Low
A.Alarm.PCD01_ALA.MyName_378;Sensorlimit High
